alpha,pfail,budget,regime_label,interestingness_score,final_anc_spread,threshold_hit_spread,rounds_spread,mean_final_anc,mean_threshold_hit,budget_sensitivity,best_policy,worst_policy,best_heuristic,best_heuristic_final_anc,rl_vs_best_heuristic_gap,random_final_anc_mean,random_final_anc_stderr,random_threshold_hit_mean,random_rounds_mean,degree_final_anc_mean,degree_final_anc_stderr,degree_threshold_hit_mean,degree_rounds_mean,risk_final_anc_mean,risk_final_anc_stderr,risk_threshold_hit_mean,risk_rounds_mean,greedy_final_anc_mean,greedy_final_anc_stderr,greedy_threshold_hit_mean,greedy_rounds_mean,betweenness_final_anc_mean,betweenness_final_anc_stderr,betweenness_threshold_hit_mean,betweenness_rounds_mean
0.4,0.05,1,trivial,0.05149480199507236,0.05047773571299796,0.05555555555555558,0.11111111111111116,0.9748993449912866,0.9777777777777779,0.005047773571299818,degree,random,degree,0.9949522264287002,,0.9444744907157022,0.05396109559558779,0.9444444444444444,2.2777777777777777,0.9949522264287002,0.004905554145053433,1.0,2.2777777777777777,0.9451655549546302,0.05328950187334833,0.9444444444444444,2.388888888888889,0.9949522264287002,0.004905554145053433,1.0,2.2777777777777777,0.9949522264287002,0.004905554145053433,1.0,2.2777777777777777
0.4,0.05,2,trivial,0.0430713298479659,0.04780361757105944,0.05555555555555558,0.11111111111111116,0.9825070608737455,0.9888888888888889,0.005047773571299818,degree,random,degree,1.0,,0.9521963824289406,0.04645676574273819,0.9444444444444444,1.5,1.0,0.0,1.0,1.4444444444444444,0.9603389219397873,0.038543639711134135,1.0,1.5,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.4444444444444444
0.4,0.05,3,trivial,0.0010095547142599636,0.0,0.0,0.05555555555555558,1.0,1.0,0.005047773571299818,random,random,random,1.0,,1.0,0.0,1.0,0.9444444444444444,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888
0.4,0.05,4,trivial,0.0010095547142599636,0.0,0.0,0.0,1.0,1.0,0.005047773571299818,random,random,random,1.0,,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888
0.4,0.08,1,trivial,0.14425349628271283,0.15982779496048916,0.16666666666666663,0.16666666666666652,0.941461688891518,0.9444444444444444,0.005047773571299818,degree,random,degree,0.9949522264287002,,0.835124431468211,0.08690668742988593,0.8333333333333334,3.0555555555555554,0.9949522264287002,0.004905554145053433,1.0,3.0,0.8873273337032781,0.07324210860998152,0.8888888888888888,3.1666666666666665,0.9949522264287002,0.004905554145053433,1.0,3.0,0.9949522264287002,0.004905554145053433,1.0,3.0
0.4,0.08,2,trivial,0.0430713298479659,0.04780361757105944,0.05555555555555558,0.16666666666666652,0.9825070608737455,0.9888888888888889,0.005047773571299818,degree,random,degree,1.0,,0.9521963824289406,0.04645676574273819,0.9444444444444444,1.8888888888888888,1.0,0.0,1.0,1.7777777777777777,0.9603389219397873,0.038543639711134135,1.0,1.8888888888888888,1.0,0.0,1.0,1.7222222222222223,1.0,0.0,1.0,1.7777777777777777
0.4,0.08,3,trivial,0.0010095547142599636,0.0,0.0,0.05555555555555558,1.0,1.0,0.005047773571299818,random,random,random,1.0,,1.0,0.0,1.0,1.4444444444444444,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888
0.4,0.08,4,trivial,0.0010095547142599636,0.0,0.0,0.0,1.0,1.0,0.005047773571299818,random,random,random,1.0,,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556
0.4,0.1,1,trivial,0.2046011521879361,0.15140450614478296,0.11111111111111105,0.11111111111111072,0.8700509846028843,0.8555555555555555,0.07037206661430107,greedy,random,greedy,0.9296279333856989,,0.778223427240916,0.09415940943384975,0.7777777777777778,3.4444444444444446,0.8931217138075486,0.06622639921115081,0.8888888888888888,3.4444444444444446,0.8484081967882139,0.07712172445273839,0.8333333333333334,3.5555555555555554,0.9296279333856989,0.047079124583504016,0.8888888888888888,3.4444444444444446,0.9008736517920447,0.061163441309793835,0.8888888888888888,3.4444444444444446
0.4,0.1,2,trivial,0.07160100427292332,0.07069887626945492,0.05555555555555558,0.16666666666666652,0.9749894838050597,0.9777777777777779,0.07037206661430107,degree,random,degree,1.0,,0.9293011237305451,0.05406842676439838,0.9444444444444444,2.2777777777777777,1.0,0.0,1.0,2.111111111111111,0.945646295294754,0.052822306240486096,0.9444444444444444,2.2222222222222223,1.0,0.0,1.0,2.111111111111111,1.0,0.0,1.0,2.111111111111111
